MODEL RESULTS for run at: cv_l2logreg_1_X_nolvl1drop_qids_c_y_nolvl1drop_trdrem_qids_c_elas_20201017-1744

Model Parameters:-----------------------------------
Evaluation: cv
Model: l2logreg
Feature selection: elas
X is: C:\Users\jjnun\Documents\Sync\Research\1_CANBIND_Replication\teyden-git\data\final_datasets\for_paper_20201012\\X_nolvl1drop_qids_c.csv
y is: C:\Users\jjnun\Documents\Sync\Research\1_CANBIND_Replication\teyden-git\data\final_datasets\for_paper_20201012\\y_nolvl1drop_trdrem_qids_c.csv
1 runs of 10-fold CV

Summary of Results:------------------------------------
Mean accuracy is: 0.7369, with Standard Deviation: 0.000000
Mean balanced accuracy is: 0.7304, with Standard Deviation: 0.000000
Mean AUC is: 0.7961, with Standard Deviation: 0.000000
Mean sensitivty is: 0.7161, with Standard Deviation: 0.000000
Mean specificty is: 0.7447, with Standard Deviation: 0.000000
Mean precision is: 0.5190, with Standard Deviation: 0.000000
Mean f1 is: 0.6004, with Standard Deviation: 0.0000
Mean true positive is: 0.1992, with Standard Deviation: 0.000000
Mean false positive is: 0.1841, with Standard Deviation: 0.000000
Mean true negative is: 0.5377, with Standard Deviation: 0.000000
Mean false negative is: 0.0790, with Standard Deviation: 0.000000
Mean number of features used is: 31.0000 of 480, with Standard Deviation: 0.0000

Feature Importance And Use:---------------------------
Top 31 Features by importance, in descending order (1st most important):
By position in data matrix, 1 added to skip index=0 
[167 243 331 272 182  16 222 401 155 306 229 386 308 304 394 384 159 358
 185 460 247 172 338  83 256 307 321 240 341 120 396]
pdsq01__temem
pdsq01__dkfam
qids01_w0c__vmnin
pdsq01__wintr
pdsq01__ebaln
crs01__liverd
pdsq01__frcar
qlesq01__qlesq04
pdsq01__spf2w
phx01__alcchld
pdsq01__ematn
qids01_w2sr__vapdc
phx01__drgpar
phx01__alcpar
qids01_w2sr__vengy
qids01_w2sr__vhysm
pdsq01__trd2y
qids01_w0sr__vsuic
pdsq01__ebdt
wpai01__wpai_pctactimp
pdsq01__dkmge
pdsq01__teshk
qids01_w0c__vwtin
hrsd01__hsoin
pdsq01__wysdt
phx01__drug_phx
phx01__alcoh||2.0
pdsq01__emanx
qids01_w0c__vsuic
idsc01__isuic
qids01_w2sr__vagit

Statistical Significance:----------------------------
Raw results:----------------------------------------
Accuracies
[0.73690476]
Balanced Accuracies
[0.7304122]
AUCs
[0.79610187]
Sensitivites
[0.71612935]
Specificities
[0.74469505]
Precisions
[0.51904946]
F1s
[0.60043519]
Number of features used
[31.]
Mean Feature importances Across Runs
[-9.2011e-002,1.2514e+221,-9.3779e+234,1.8035e+069,-3.5132e+210,-2.9326e+271,1.2661e+161
,-3.8382e+055,1.6452e+275,-1.5330e+198,-2.4866e+087,-3.4095e+012,1.4752e-001,-3.0690e+216
,-2.1494e+224,3.1561e+305,8.4704e+218,3.2573e+269,5.7820e+269,-5.0941e+232,-7.8035e+266
,4.7603e-001,1.1947e+275,-1.7065e+259,5.2933e+023,-1.8538e-001,1.9025e-001,-1.2008e+201
,-1.1673e+069,-2.4454e+301,1.6713e+039,-5.4964e+187,-6.5052e+306,-4.4324e+251,-1.8181e+269
,-5.4089e+177,1.0665e+132,2.8673e+012,-1.0679e+147,-2.0914e-001,-9.2226e+159,1.2831e+021
,-6.0360e+112,1.4260e+211,6.0241e+206,-9.2670e+194,2.5850e+151,4.2214e+291,6.3805e+250
,2.5911e+072,-1.3299e+211,-8.2251e+272,8.9852e+255,-4.0025e+277,2.3188e+274,3.3902e+024
,-6.2579e+287,2.3139e+292,-5.0978e-001,-2.4242e+175,-2.1386e-131,-3.5715e-001,-3.6887e+239
,3.4285e+052,8.5414e+242,4.4219e+109,5.1933e+125,3.1800e+284,1.8094e+140,-5.4884e+128
,-3.2778e+090,-9.3174e+281,3.4166e+196,1.8724e+180,5.8652e+258,8.9029e+240,3.1708e-041
,-3.7530e+123,-1.2521e+106,7.5059e-031,-1.6918e+219,-1.1527e+180,7.7187e+296,8.8561e+243
,-2.2138e+178,5.7217e+241,3.0463e+034,-1.9510e+123,-1.0947e+301,7.8927e+226,2.4052e-062
,8.1763e+206,-4.1360e+238,2.1648e+238,2.8022e+263,2.8213e+201,2.4719e+205,1.1682e+183
,6.8289e+087,1.2595e+132,-1.1425e+225,-3.8747e+175,2.5570e+178,2.9934e+257,-1.5265e-060
,-4.0967e+303,9.6830e+203,-7.8999e+186,9.6248e+221,1.1600e+076,1.0271e+214,-5.3294e+260
,9.6504e+081,-1.3413e+305,-8.7547e+164,-3.8274e+269,2.6894e+266,-2.5416e+134,-1.9734e+148
,3.6217e+294,7.3604e-006,2.3577e+246,8.1642e+258,8.0229e+246,-1.2692e+215,-4.9024e+175
,-2.0546e+255,3.0164e+291,-7.2906e+191,-2.1222e+286,1.4039e+293,-1.0368e+287,-4.5359e+304
,6.2003e+214,-3.1838e+275,7.3826e+255,6.2532e+072,-5.8961e+230,1.6341e+219,-1.0044e+297
,-3.8082e+302,-2.1451e+305,2.7450e+255,4.4994e+270,1.9288e+126,1.3359e+257,3.9393e+213
,-1.7548e+257,-2.4061e+107,8.6618e+272,-3.3087e+195,-1.2698e+218,-2.0406e+254,-9.7636e+229
,1.5176e+304,1.0479e+202,-3.9665e+199,-1.7832e+182,5.7140e+299,8.2481e+140,-3.0238e+125
,4.0861e+257,1.6470e+249,1.7153e-001,-2.0301e+300,2.5678e+130,nan,1.5888e+176
